date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:06	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:21%20GMT	http://themepixels.me/robots.txt		(from )
15:00:07	66465/66465	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:15%20GMT	http://themepixels.me/bracketplus/1.4/app/template/	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/index.html	(from )
15:00:10	51215/51215	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Dec%202018%2000:51:16%20GMT	http://themepixels.me/bracketplus/1.4/app/lib/@fortawesome/fontawesome-free/css/all.min.css	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/lib/@fortawesome/fontawesome-free/css/all.min.css	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:10	51284/51284	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Dec%202018%2000:47:22%20GMT	http://themepixels.me/bracketplus/1.4/app/lib/ionicons/css/ionicons.min.css	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/lib/ionicons/css/ionicons.min.css	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:11	6009/6009	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Dec%202018%2000:44:59%20GMT	http://themepixels.me/bracketplus/1.4/app/lib/rickshaw/rickshaw.min.css	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/lib/rickshaw/rickshaw.min.css	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:12	15180/15180	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Dec%202018%2000:50:31%20GMT	http://themepixels.me/bracketplus/1.4/app/lib/select2/css/select2.min.css	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/lib/select2/css/select2.min.css	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:15	992306/992306	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Dec%202018%2012:14:17%20GMT	http://themepixels.me/bracketplus/1.4/app/css/bracket.css	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/css/bracket.css	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:15	66545/66545	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Jun%202018%2022:36:43%20GMT	http://themepixels.me/bracketplus/img/bracketplus-social.png	B:/Template/Ecommerce5/themepixels.me/bracketplus/img/bracketplus-social.png	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:16	66465/66465	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:15%20GMT	http://themepixels.me/bracketplus/1.4/app/template/index.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/index-2.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:16	56194/56194	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:18%20GMT	http://themepixels.me/bracketplus/1.4/app/template/mailbox.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/mailbox.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:17	96891/96891	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:56%20GMT	http://themepixels.me/bracketplus/1.4/app/template/card-dashboard.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/card-dashboard.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:18	82855/82855	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:58%20GMT	http://themepixels.me/bracketplus/1.4/app/template/card-social.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/card-social.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:19	67082/67082	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:51%20GMT	http://themepixels.me/bracketplus/1.4/app/template/alerts.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/alerts.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:19	87018/87018	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:58%20GMT	http://themepixels.me/bracketplus/1.4/app/template/card-listing.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/card-listing.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:19	74875/74875	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:56%20GMT	http://themepixels.me/bracketplus/1.4/app/template/buttons.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/buttons.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:20	83685/83685	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:59%20GMT	http://themepixels.me/bracketplus/1.4/app/template/cards.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/cards.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:20	69282/69282	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:14:51%20GMT	http://themepixels.me/bracketplus/1.4/app/template/accordion.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/accordion.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:21	70870/70870	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:00%20GMT	http://themepixels.me/bracketplus/1.4/app/template/carousel.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/carousel.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:21	67665/67665	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:07%20GMT	http://themepixels.me/bracketplus/1.4/app/template/dropdowns.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/dropdowns.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:22	72128/72128	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:14%20GMT	http://themepixels.me/bracketplus/1.4/app/template/icons.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/icons.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:22	50420/50420	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:15%20GMT	http://themepixels.me/bracketplus/1.4/app/template/images.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/images.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:23	78547/78547	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:17%20GMT	http://themepixels.me/bracketplus/1.4/app/template/list.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/list.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:24	74832/74832	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:23%20GMT	http://themepixels.me/bracketplus/1.4/app/template/modal.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/modal.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:25	50031/50031	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:22%20GMT	http://themepixels.me/bracketplus/1.4/app/template/media.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/media.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:26	61763/61763	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:32%20GMT	http://themepixels.me/bracketplus/1.4/app/template/pagination.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/pagination.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:26	71868/71868	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:32%20GMT	http://themepixels.me/bracketplus/1.4/app/template/popups.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/popups.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:27	53696/53696	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:34%20GMT	http://themepixels.me/bracketplus/1.4/app/template/progress.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/progress.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:27	49124/49124	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:44%20GMT	http://themepixels.me/bracketplus/1.4/app/template/spinners.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/spinners.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:28	50636/50636	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:47%20GMT	http://themepixels.me/bracketplus/1.4/app/template/typography.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/typography.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:28	74311/74311	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:25%20GMT	http://themepixels.me/bracketplus/1.4/app/template/navigation.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/navigation.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:29	62469/62469	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:24%20GMT	http://themepixels.me/bracketplus/1.4/app/template/navigation-layouts.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/navigation-layouts.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:29	63308/63308	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:24%20GMT	http://themepixels.me/bracketplus/1.4/app/template/navigation-effects.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/navigation-effects.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:30	48459/48459	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:04%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-morris.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-morris.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:30	50183/50183	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:03%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-flot.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-flot.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:31	50781/50781	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:01%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-chartjs.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-chartjs.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:31	50406/50406	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:03%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-echarts.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-echarts.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:32	48995/48995	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:06%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-rickshaw.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-rickshaw.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:32	50931/50931	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:01%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-chartist.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-chartist.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:33	47990/47990	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:06%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-sparkline.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-sparkline.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:33	48915/48915	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:05%20GMT	http://themepixels.me/bracketplus/1.4/app/template/chart-peity.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/chart-peity.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:33	79314/79314	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:10%20GMT	http://themepixels.me/bracketplus/1.4/app/template/form-elements.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/form-elements.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:34	69066/69066	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:10%20GMT	http://themepixels.me/bracketplus/1.4/app/template/form-layouts.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/form-layouts.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:35	67154/67154	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:11%20GMT	http://themepixels.me/bracketplus/1.4/app/template/form-validation.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/form-validation.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:35	55272/55272	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:12%20GMT	http://themepixels.me/bracketplus/1.4/app/template/form-wizards.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/form-wizards.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:36	51241/51241	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:08%20GMT	http://themepixels.me/bracketplus/1.4/app/template/form-editor-code.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/form-editor-code.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:36	46370/46370	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:09%20GMT	http://themepixels.me/bracketplus/1.4/app/template/form-editor-text.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/form-editor-text.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:36	71065/71065	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:45%20GMT	http://themepixels.me/bracketplus/1.4/app/template/table-basic.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/table-basic.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
15:00:37	79587/79587	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2012:15:46%20GMT	http://themepixels.me/bracketplus/1.4/app/template/table-datatable.html	B:/Template/Ecommerce5/themepixels.me/bracketplus/1.4/app/template/table-datatable.html	(from http://themepixels.me/bracketplus/1.4/app/template/)
